Namespace(dataset='glass', mode='examine', n_estimators=1, num_clf=20, random_state=1803, reuse=False)
Dataset glass
(96, 10)
(97, 10)
(21, 10)
Number of label: 6 

Single different (20) (x0)

Multi different (20) (x3)
['F', 'F', 'F', 'F', 'E', 'A', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> D
['A', 'F', 'A', 'F', 'F', 'F', 'A', 'F', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F'] -> A
['B', 'F', 'B', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'F', 'A', 'F', 'D', 'A', 'F', 'A', 'A'] -> A
['F', 'A', 'F', 'F', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'F', 'A', 'D', 'A', 'D', 'A', 'A', 'A', 'A'] -> A
['F', 'F', 'E', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'F', 'F', 'A', 'F', 'F', 'F', 'A', 'A'] -> A
['B', 'A', 'E', 'B', 'B', 'A', 'B', 'A', 'A', 'C', 'B', 'F', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'B'] -> B
['B', 'B', 'A', 'A', 'A', 'F', 'B', 'B', 'F', 'B', 'B', 'C', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'A'] -> B
['B', 'B', 'E', 'B', 'B', 'A', 'B', 'B', 'F', 'C', 'B', 'C', 'A', 'B', 'C', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'E', 'C', 'C', 'F', 'C', 'C', 'C', 'C', 'A', 'F', 'C', 'B', 'F', 'B', 'C', 'C', 'C', 'E'] -> C
['C', 'C', 'E', 'E', 'E', 'C', 'E', 'C', 'C', 'B', 'A', 'E', 'C', 'E', 'F', 'E', 'C', 'C', 'C', 'C'] -> C
['B', 'E', 'E', 'E', 'D', 'E', 'C', 'B', 'E', 'E', 'A', 'F', 'C', 'B', 'E', 'B', 'E', 'C', 'E', 'E'] -> E
['D', 'E', 'B', 'E', 'C', 'E', 'B', 'E', 'E', 'E', 'E', 'F', 'E', 'B', 'B', 'B', 'E', 'C', 'E', 'E'] -> E
['E', 'E', 'A', 'E', 'E', 'E', 'D', 'A', 'A', 'F', 'D', 'E', 'E', 'E', 'B', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'B', 'E', 'E', 'E', 'C', 'E', 'E', 'E', 'F', 'C', 'E', 'E', 'C', 'A', 'C', 'C', 'E'] -> E
['E', 'E', 'E', 'E', 'C', 'E', 'B', 'E', 'E', 'E', 'E', 'F', 'E', 'B', 'E', 'C', 'E', 'C', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'D', 'E', 'C', 'B', 'E', 'E', 'A', 'F', 'E', 'B', 'E', 'C', 'E', 'C', 'E', 'E'] -> E
['A', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'A', 'F', 'A', 'A', 'F', 'F', 'A', 'F', 'A', 'F', 'A'] -> F
['D', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'B', 'D', 'F', 'D', 'F', 'A', 'F', 'A', 'F', 'D', 'D', 'A'] -> F
['F', 'A', 'D', 'A', 'F', 'F', 'E', 'A', 'F', 'F', 'F', 'E', 'F', 'F', 'A', 'F', 'D', 'F', 'F', 'F'] -> F
['F', 'F', 'A', 'D', 'F', 'F', 'F', 'F', 'E', 'F', 'A', 'A', 'F', 'D', 'A', 'D', 'E', 'F', 'A', 'F'] -> F
['F', 'F', 'B', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'F', 'F', 'A', 'A', 'A', 'F', 'E', 'F'] -> F
['F', 'F', 'D', 'A', 'F', 'A', 'A', 'A', 'A', 'F', 'A', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'D', 'F', 'F', 'A', 'A', 'A', 'F', 'F', 'A', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'D', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'A', 'D', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'D', 'F', 'F', 'F', 'A', 'A', 'A', 'F', 'F', 'A', 'D', 'F', 'A', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'A', 'A', 'A', 'D', 'F', 'A', 'F', 'D', 'F', 'F', 'F'] -> F

First quarter (1) (x27)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'F', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'B', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A', 'B', 'C', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'B', 'E', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'F', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'F'] -> A
['B', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'D', 'A', 'A'] -> A
['D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'D', 'A', 'A', 'A', 'A'] -> A
['F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'D', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'E', 'F', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'F', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'F', 'E', 'E', 'E', 'C', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'B', 'E', 'E', 'A', 'F', 'E', 'E', 'E', 'C', 'E', 'C', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'B', 'E', 'E', 'D', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'B', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'F', 'E', 'E', 'E', 'C', 'E', 'C', 'E', 'E'] -> E
['F', 'A', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A'] -> F
['F', 'F', 'B', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'E', 'F'] -> F
['F', 'F', 'D', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'E', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'A', 'F', 'A', 'F', 'A', 'F', 'F', 'D', 'F', 'C', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'A', 'A'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'A', 'D'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F'] -> F

No different (0) (x4)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F


[0.6391752577319587, 0.5876288659793815, 0.44329896907216493, 0.6288659793814433, 0.5463917525773195, 0.5360824742268041, 0.4948453608247423, 0.4329896907216495, 0.6391752577319587, 0.6082474226804123, 0.5360824742268041, 0.38144329896907214, 0.5567010309278351, 0.4845360824742268, 0.4948453608247423, 0.5051546391752577, 0.6082474226804123, 0.5360824742268041, 0.6804123711340206, 0.5979381443298969]
0.5469072164948453


Single different (20) (x0)

Multi different (20) (x0)

Forth quarter (16) (x3)
['B', 'E', 'B', 'A', 'B', 'B', 'B', 'A', 'E', 'C', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'A', 'B', 'B'] -> A
['F', 'C', 'E', 'B', 'D', 'F', 'B', 'B', 'F', 'C', 'F', 'E', 'B', 'B', 'A', 'B', 'E', 'C', 'B', 'B'] -> A
['F', 'F', 'F', 'A', 'F', 'F', 'D', 'A', 'F', 'F', 'F', 'E', 'D', 'F', 'A', 'F', 'F', 'D', 'D', 'F'] -> A

Third quarter (11) (x7)
['A', 'F', 'B', 'A', 'F', 'B', 'F', 'B', 'F', 'F', 'B', 'B', 'A', 'A', 'F', 'A', 'A', 'E', 'E', 'B'] -> A
['F', 'A', 'F', 'A', 'F', 'F', 'A', 'F', 'F', 'A', 'A', 'B', 'D', 'A', 'A', 'F', 'F', 'A', 'A', 'D'] -> A
['A', 'B', 'E', 'A', 'B', 'A', 'E', 'B', 'F', 'A', 'A', 'F', 'A', 'C', 'A', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'E', 'A', 'E', 'D', 'D', 'C', 'B', 'A', 'D', 'D', 'F', 'A', 'B', 'F', 'B', 'E', 'B', 'B', 'B'] -> B
['E', 'E', 'A', 'E', 'E', 'A', 'E', 'B', 'F', 'A', 'D', 'B', 'A', 'E', 'E', 'C', 'F', 'C', 'B', 'E'] -> E
['A', 'A', 'A', 'F', 'A', 'F', 'F', 'A', 'F', 'A', 'F', 'A', 'A', 'F', 'A', 'A', 'F', 'F', 'F', 'A'] -> F
['D', 'D', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'A', 'D', 'F', 'D', 'F', 'F'] -> F

Second quarter (6) (x2)
['A', 'A', 'E', 'A', 'A', 'B', 'E', 'A', 'A', 'A', 'A', 'B', 'A', 'C', 'A', 'A', 'B', 'A', 'A', 'A'] -> A
['D', 'A', 'F', 'A', 'E', 'F', 'E', 'F', 'F', 'F', 'D', 'F', 'F', 'A', 'A', 'F', 'F', 'F', 'F', 'F'] -> F

First quarter (1) (x9)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'F', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'F', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'F', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'F', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'F', 'A', 'A', 'A', 'A', 'F'] -> A
['A', 'F', 'A', 'A', 'A', 'F', 'F', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A'] -> A
['F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['F', 'F', 'A', 'F', 'F', 'F', 'A', 'A', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F'] -> F

No different (0) (x0)


[0.5714285714285714, 0.5238095238095238, 0.47619047619047616, 0.8095238095238095, 0.5714285714285714, 0.38095238095238093, 0.42857142857142855, 0.6190476190476191, 0.5714285714285714, 0.6190476190476191, 0.5714285714285714, 0.42857142857142855, 0.5238095238095238, 0.47619047619047616, 0.5238095238095238, 0.6666666666666666, 0.5714285714285714, 0.7619047619047619, 0.7619047619047619, 0.6666666666666666]
0.5761904761904761
