Namespace(dataset='ecoli', mode='examine', n_estimators=1, num_clf=20, random_state=9374, reuse=False)
Dataset ecoli
(151, 8)
(151, 8)
(34, 8)
Number of label: 8 

Single different (20) (x1)
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> F
['F', 'C', 'C', 'C', 'D', 'D', 'E', 'D', 'A', 'C', 'D', 'C', 'D', 'F', 'B', 'D', 'D', 'D', 'C', 'A'] -> D
['D', 'F', 'F', 'D', 'F', 'D', 'F', 'H', 'D', 'D', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'D', 'D', 'D'] -> F
['F', 'F', 'F', 'D', 'F', 'D', 'D', 'B', 'H', 'F', 'D', 'D', 'F', 'D', 'D', 'B', 'D', 'D', 'F', 'D'] -> F

Second quarter (6) (x29)
['A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'C', 'B', 'D', 'A', 'A', 'C', 'A', 'A', 'C', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'C', 'B', 'F', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'C', 'C'] -> A
['C', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'C', 'F', 'E', 'F', 'C', 'D', 'F', 'E', 'A', 'A', 'A'] -> A
['C', 'A', 'A', 'A', 'A', 'F', 'C', 'A', 'C', 'B', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A'] -> A
['C', 'B', 'A', 'A', 'A', 'B', 'B', 'A', 'B', 'B', 'C', 'A', 'A', 'B', 'B', 'B', 'A', 'B', 'C', 'B'] -> B
['C', 'A', 'C', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'A', 'E', 'C', 'C', 'A', 'C', 'F', 'A', 'C', 'C'] -> C
['C', 'A', 'C', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'A', 'E', 'C', 'C', 'A', 'C', 'F', 'A', 'C', 'C'] -> C
['C', 'A', 'C', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'E', 'A', 'C', 'C', 'A', 'C', 'A', 'A', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'C', 'C', 'A', 'B', 'C', 'A', 'D', 'A', 'D', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'D', 'C', 'C', 'C', 'A', 'A', 'C', 'A', 'D', 'C', 'C', 'D', 'C', 'C', 'D', 'C', 'A'] -> C
['C', 'F', 'C', 'C', 'B', 'C', 'C', 'F', 'C', 'C', 'E', 'E', 'C', 'A', 'C', 'A', 'F', 'F', 'C', 'C'] -> C
['A', 'D', 'F', 'D', 'C', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'A', 'B', 'D', 'D', 'D', 'D'] -> D
['D', 'C', 'C', 'C', 'D', 'D', 'A', 'D', 'A', 'C', 'D', 'D', 'D', 'E', 'B', 'C', 'D', 'D', 'C', 'D'] -> D
['D', 'C', 'C', 'C', 'D', 'D', 'A', 'D', 'A', 'C', 'D', 'D', 'D', 'E', 'B', 'D', 'D', 'D', 'C', 'A'] -> D
['D', 'D', 'A', 'C', 'D', 'D', 'D', 'A', 'A', 'B', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'D', 'C', 'A'] -> D
['D', 'D', 'D', 'F', 'A', 'H', 'D', 'F', 'D', 'F', 'D', 'D', 'H', 'D', 'D', 'D', 'D', 'F', 'F', 'D'] -> D
['D', 'D', 'D', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'D', 'D', 'F', 'D', 'F', 'D', 'F', 'D'] -> D
['D', 'F', 'A', 'D', 'D', 'D', 'D', 'F', 'A', 'A', 'D', 'D', 'D', 'F', 'A', 'D', 'D', 'D', 'F', 'F'] -> D
['D', 'F', 'D', 'D', 'D', 'C', 'D', 'D', 'F', 'D', 'F', 'F', 'D', 'D', 'D', 'F', 'D', 'F', 'D', 'D'] -> D
['D', 'H', 'F', 'F', 'D', 'D', 'D', 'H', 'D', 'D', 'H', 'D', 'D', 'D', 'F', 'F', 'D', 'D', 'D', 'D'] -> D
['F', 'F', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'B', 'E', 'E', 'B', 'E', 'A', 'B', 'C', 'B', 'E', 'E', 'E', 'E', 'E', 'A'] -> E
['E', 'E', 'E', 'E', 'E', 'C', 'E', 'E', 'E', 'C', 'F', 'B', 'F', 'E', 'E', 'B', 'E', 'E', 'E', 'A'] -> E
['D', 'D', 'F', 'F', 'D', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'D', 'D'] -> F
['D', 'F', 'F', 'D', 'F', 'D', 'F', 'D', 'F', 'F', 'D', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'D', 'D'] -> F
['F', 'D', 'D', 'F', 'F', 'F', 'F', 'D', 'F', 'D', 'D', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'D'] -> F
['F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D'] -> F
['F', 'F', 'F', 'F', 'D', 'F', 'F', 'D', 'F', 'D', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'D'] -> F
['F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'D', 'F', 'D'] -> F

First quarter (1) (x59)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'C', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'D', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'C', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A'] -> A
['A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'B', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'B', 'E', 'B', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['C', 'C', 'A', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'E', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'B', 'C', 'A', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'B', 'C', 'A', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'B', 'C', 'C', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'B', 'C', 'C', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'B', 'C', 'C', 'B', 'C', 'A', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'B', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'C', 'C', 'A', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A'] -> C
['C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'B', 'C', 'C', 'B', 'C', 'A', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'B', 'C', 'C', 'C', 'C', 'A', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'B', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'A', 'C', 'A', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'A', 'C', 'C', 'A', 'A', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'F', 'C', 'C', 'A', 'A', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'D', 'C', 'F', 'C', 'C', 'A', 'A', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'D'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'D'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'E', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'A', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'D', 'D', 'D', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C'] -> C
['D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'H', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'H', 'D', 'F', 'H', 'H', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D'] -> D
['D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D'] -> D
['D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'F', 'D', 'D'] -> D
['D', 'F', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D'] -> D
['F', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'D', 'D', 'D', 'D'] -> D

No different (0) (x29)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D


[0.7615894039735099, 0.6887417218543046, 0.6821192052980133, 0.6754966887417219, 0.6887417218543046, 0.6423841059602649, 0.7483443708609272, 0.6622516556291391, 0.6423841059602649, 0.6622516556291391, 0.5827814569536424, 0.6357615894039735, 0.7549668874172185, 0.6556291390728477, 0.6622516556291391, 0.8145695364238411, 0.7019867549668874, 0.6887417218543046, 0.7218543046357616, 0.7350993377483444]
0.6903973509933775


Single different (20) (x1)
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> F

Multi different (20) (x0)

Forth quarter (16) (x1)
['A', 'A', 'A', 'B', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> B

Third quarter (11) (x7)
['A', 'A', 'A', 'B', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'A', 'B', 'A', 'B', 'A', 'B'] -> B
['A', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'D', 'B', 'A', 'A', 'A', 'B', 'D', 'B', 'A', 'B'] -> B
['A', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'A', 'C', 'B', 'A', 'A', 'A', 'B', 'B', 'B', 'A', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'F', 'D', 'D', 'F', 'F', 'F', 'D', 'D', 'F', 'D', 'D'] -> F
['D', 'D', 'D', 'D', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'F', 'F', 'D', 'D'] -> F
['D', 'F', 'F', 'F', 'H', 'D', 'F', 'H', 'F', 'D', 'H', 'F', 'H', 'H', 'D', 'F', 'D', 'D', 'D', 'D'] -> F
