Namespace(dataset='audiology', mode='examine', n_estimators=1, num_clf=20, random_state=9844, reuse=False)
Dataset audiology
(100, 95)
(100, 95)
(26, 95)
Number of label: 24 

Single different (20) (x0)

Multi different (20) (x8)
['E', 'E', 'E', 'Q', 'X', 'E', 'E', 'X', 'L', 'E', 'L', 'E', 'X', 'G', 'E', 'E', 'X', 'E', 'E', 'E'] -> A
['A', 'A', 'D', 'A', 'A', 'A', 'A', 'D', 'E', 'A', 'E', 'F', 'A', 'E', 'A', 'F', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'D', 'A', 'A', 'F', 'R', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'F'] -> A
['A', 'A', 'R', 'A', 'L', 'A', 'E', 'E', 'A', 'A', 'A', 'E', 'A', 'C', 'A', 'E', 'A', 'A', 'A', 'A'] -> A
['A', 'D', 'A', 'A', 'A', 'A', 'F', 'G', 'A', 'A', 'D', 'S', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A'] -> A
['D', 'F', 'D', 'A', 'F', 'A', 'E', 'D', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'N', 'F'] -> A
['E', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'D', 'E', 'A', 'N', 'A', 'D', 'R', 'A', 'E'] -> A
['E', 'A', 'A', 'D', 'L', 'A', 'E', 'D', 'A', 'A', 'D', 'F', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A'] -> A
['E', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'N', 'A', 'E', 'E', 'R', 'A'] -> A
['A', 'G', 'A', 'D', 'D', 'D', 'G', 'R', 'D', 'D', 'J', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'E', 'D', 'A', 'E', 'E', 'E', 'D', 'E', 'E', 'E', 'S', 'A', 'E', 'A', 'E', 'E', 'A', 'A', 'S'] -> E
['E', 'E', 'E', 'D', 'X', 'E', 'E', 'X', 'L', 'E', 'L', 'E', 'X', 'E', 'E', 'E', 'D', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'E', 'F', 'D', 'E', 'E', 'R', 'E'] -> E
['E', 'E', 'E', 'Q', 'Q', 'E', 'E', 'X', 'L', 'E', 'Q', 'E', 'X', 'G', 'E', 'E', 'E', 'E', 'L', 'E'] -> E
['E', 'E', 'E', 'Q', 'Q', 'E', 'E', 'X', 'L', 'E', 'Q', 'E', 'X', 'G', 'E', 'E', 'E', 'E', 'L', 'E'] -> E
['E', 'E', 'E', 'Q', 'X', 'E', 'E', 'X', 'L', 'E', 'L', 'E', 'X', 'G', 'E', 'E', 'X', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'Q', 'X', 'E', 'L', 'X', 'L', 'E', 'L', 'D', 'X', 'G', 'E', 'E', 'X', 'E', 'E', 'E'] -> E
['F', 'A', 'A', 'A', 'F', 'F', 'A', 'F', 'P', 'A', 'F', 'F', 'A', 'A', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'A', 'D', 'F', 'F', 'F', 'A', 'P', 'A', 'G', 'D', 'F', 'A', 'F', 'D', 'F', 'F', 'A', 'F'] -> F
['G', 'G', 'D', 'D', 'G', 'G', 'D', 'G', 'G', 'R', 'G', 'G', 'G', 'D', 'G', 'R', 'G', 'G', 'G', 'D'] -> G
['P', 'G', 'G', 'D', 'D', 'G', 'D', 'G', 'G', 'R', 'G', 'G', 'G', 'D', 'G', 'R', 'N', 'D', 'G', 'G'] -> G
['D', 'O', 'J', 'L', 'O', 'R', 'L', 'D', 'O', 'L', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'J'] -> O
['P', 'A', 'P', 'H', 'A', 'G', 'P', 'A', 'P', 'P', 'P', 'V', 'P', 'A', 'P', 'D', 'P', 'I', 'A', 'P'] -> P

First quarter (1) (x34)
['A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'D', 'A', 'A', 'E', 'A', 'A', 'A', 'D', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'D', 'A', 'A', 'F', 'A', 'D', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'D', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A'] -> A
['A', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'U', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'E', 'D', 'D', 'D'] -> D
['D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'U', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'U', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'A', 'D', 'D', 'D', 'D', 'G', 'D', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'S', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'E', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'E', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'A', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'S', 'D', 'D', 'D', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'D', 'D', 'D', 'D', 'D', 'R', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'N', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'A', 'F'] -> F
['A', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'N', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'A', 'F'] -> F
['D', 'G', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'D', 'G', 'G', 'G', 'G'] -> G
['G', 'D', 'G', 'G', 'G', 'G', 'G', 'R', 'G', 'G', 'G', 'A', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'D'] -> G
['G', 'G', 'A', 'G', 'G', 'G', 'G', 'X', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'G', 'I', 'L', 'L', 'L', 'L', 'L'] -> L
['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L'] -> L
['L', 'L', 'V', 'L', 'L', 'L', 'H', 'L', 'L', 'L', 'L', 'L', 'J', 'L', 'J', 'L', 'L', 'J', 'L', 'L'] -> L
['O', 'O', 'J', 'L', 'O', 'O', 'O', 'R', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> O
['O', 'O', 'O', 'L', 'O', 'O', 'O', 'R', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> O
['A', 'S', 'S', 'S', 'S', 'S', 'F', 'S', 'S', 'S', 'S', 'A', 'S', 'S', 'A', 'S', 'S', 'S', 'A', 'S'] -> S

No different (0) (x3)
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G


[0.52, 0.55, 0.45, 0.48, 0.57, 0.6, 0.53, 0.4, 0.52, 0.6, 0.5, 0.42, 0.58, 0.49, 0.5, 0.57, 0.6, 0.62, 0.59, 0.63]
0.536


Single different (20) (x0)

Multi different (20) (x1)
['K', 'A', 'E', 'L', 'D', 'E', 'A', 'G', 'D', 'D', 'D', 'O', 'C', 'G', 'D', 'D', 'O', 'O', 'C', 'P'] -> B

Forth quarter (16) (x1)
['G', 'N', 'D', 'F', 'A', 'V', 'F', 'R', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'N', 'F', 'A'] -> F

Third quarter (11) (x9)
['A', 'F', 'F', 'A', 'A', 'F', 'F', 'D', 'F', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'F', 'A', 'R'] -> F
['E', 'F', 'F', 'E', 'F', 'V', 'E', 'F', 'V', 'X', 'F', 'E', 'G', 'E', 'E', 'L', 'G', 'E', 'E', 'V'] -> F
['N', 'D', 'E', 'D', 'F', 'F', 'A', 'G', 'V', 'F', 'F', 'D', 'G', 'A', 'P', 'V', 'G', 'F', 'E', 'V'] -> F
['G', 'A', 'D', 'D', 'A', 'G', 'D', 'R', 'G', 'R', 'G', 'A', 'D', 'D', 'G', 'R', 'A', 'G', 'G', 'D'] -> G
['G', 'A', 'R', 'A', 'D', 'G', 'A', 'R', 'G', 'G', 'G', 'A', 'G', 'C', 'G', 'R', 'A', 'R', 'G', 'G'] -> G
['G', 'D', 'F', 'G', 'A', 'G', 'A', 'R', 'G', 'G', 'A', 'A', 'G', 'G', 'G', 'R', 'G', 'Q', 'C', 'V'] -> G
['G', 'N', 'N', 'A', 'D', 'G', 'D', 'A', 'G', 'D', 'A', 'A', 'G', 'D', 'G', 'R', 'A', 'G', 'G', 'D'] -> G
['D', 'O', 'J', 'G', 'O', 'F', 'L', 'G', 'N', 'X', 'R', 'O', 'G', 'O', 'X', 'H', 'G', 'O', 'O', 'C'] -> O
['D', 'O', 'J', 'G', 'O', 'F', 'L', 'R', 'N', 'X', 'R', 'O', 'G', 'O', 'X', 'H', 'G', 'O', 'O', 'C'] -> O

Second quarter (6) (x3)
['D', 'H', 'A', 'D', 'D', 'D', 'G', 'H', 'D', 'G', 'J', 'G', 'D', 'G', 'D', 'D', 'E', 'D', 'D', 'A'] -> D
['E', 'E', 'E', 'Q', 'X', 'E', 'E', 'X', 'L', 'E', 'L', 'E', 'X', 'G', 'E', 'V', 'X', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'Q', 'X', 'E', 'E', 'X', 'L', 'E', 'L', 'E', 'X', 'G', 'E', 'V', 'X', 'E', 'E', 'E'] -> E

First quarter (1) (x12)
['D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'A', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'A', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'A', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'E', 'N', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['O', 'O', 'O', 'L', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'H', 'O', 'O', 'O', 'O', 'O', 'O'] -> O
['O', 'O', 'O', 'L', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'H', 'O', 'O', 'O', 'O', 'O', 'O'] -> O

No different (0) (x0)


[0.6923076923076923, 0.5384615384615384, 0.46153846153846156, 0.5, 0.6153846153846154, 0.8076923076923077, 0.6153846153846154, 0.34615384615384615, 0.7307692307692307, 0.6538461538461539, 0.6153846153846154, 0.23076923076923078, 0.6153846153846154, 0.5, 0.38461538461538464, 0.5, 0.5, 0.8076923076923077, 0.8076923076923077, 0.5769230769230769]
0.5750000000000001
