Namespace(dataset='audiology', mode='examine', n_estimators=1, num_clf=20, random_state=4804, reuse=True)
Dataset audiology
(100, 95)
(100, 95)
(26, 95)
Number of label: 24 

Single different (20) (x0)

Multi different (20) (x0)

Forth quarter (16) (x0)

Third quarter (11) (x1)
['L', 'Q', 'U', 'C', 'Q', 'I', 'U', 'U', 'Q', 'C', 'C', 'U', 'C', 'U', 'U', 'Q', 'U', 'U', 'U', 'I'] -> U
['Q', 'Q', 'Q', 'A', 'Q', 'Q', 'K', 'Q', 'E', 'Q', 'Q', 'Q', 'Q', 'D', 'Q', 'L', 'G', 'Q', 'Q', 'Q'] -> Q
['Q', 'Q', 'Q', 'Q', 'Q', 'E', 'Q', 'P', 'Q', 'Q', 'E', 'E', 'Q', 'E', 'Q', 'E', 'Q', 'Q', 'Q', 'Q'] -> Q
['A', 'R', 'R', 'A', 'D', 'R', 'A', 'R', 'R', 'R', 'S', 'R', 'R', 'R', 'D', 'A', 'R', 'R', 'R', 'R'] -> R
['R', 'R', 'R', 'A', 'R', 'R', 'K', 'A', 'R', 'R', 'R', 'G', 'Q', 'D', 'R', 'R', 'R', 'R', 'R', 'R'] -> R
['T', 'T', 'A', 'D', 'T', 'A', 'T', 'D', 'T', 'T', 'D', 'G', 'T', 'T', 'T', 'T', 'T', 'D', 'T', 'D'] -> T
['U', 'U', 'U', 'U', 'Q', 'E', 'U', 'C', 'U', 'U', 'D', 'Q', 'U', 'U', 'U', 'E', 'D', 'U', 'U', 'C'] -> U
['V', 'E', 'V', 'Q', 'V', 'V', 'V', 'V', 'V', 'V', 'X', 'E', 'V', 'V', 'V', 'E', 'Q', 'V', 'V', 'Q'] -> V
['W', 'C', 'W', 'W', 'X', 'V', 'W', 'X', 'L', 'W', 'W', 'W', 'E', 'C', 'C', 'L', 'W', 'W', 'L', 'W'] -> W
['X', 'X', 'E', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'E', 'X', 'X', 'E', 'E', 'E', 'X', 'D'] -> X

First quarter (1) (x131)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'E', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'D'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'R', 'H', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'H', 'A', 'A', 'A', 'E', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'H', 'A', 'H', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'D', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'D', 'A', 'A', 'G', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'G', 'A', 'R', 'D', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'Q', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'Q', 'A', 'A', 'T', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'D'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F'] -> A
['A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F'] -> A
['A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'E', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'D', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'E', 'D', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F'] -> A
['A', 'A', 'A', 'A', 'F', 'E', 'E', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'F', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'R', 'A', 'A', 'F', 'A', 'A'] -> A
['A', 'A', 'A', 'S', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'F', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'F', 'A', 'F'] -> A
['A', 'A', 'F', 'G', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'F', 'G', 'D', 'A', 'G', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'E', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'E', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'E', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'G', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'S', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'E', 'A', 'S', 'A', 'A', 'A', 'D'] -> A
['E', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'A', 'G', 'T', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'G', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'D'] -> A
['M', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'P', 'C', 'B', 'B', 'B', 'B', 'B', 'B', 'O', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'P', 'C', 'O', 'C', 'C', 'C', 'D', 'D', 'C', 'C', 'C'] -> C
['A', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'D', 'D', 'D', 'D', 'A', 'O', 'D', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'A', 'D', 'D', 'A', 'O', 'D', 'D', 'D', 'G', 'D', 'R', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'H', 'D', 'D', 'D', 'G', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'G', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'R', 'D', 'D', 'D', 'R', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'A', 'S', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D', 'G', 'D', 'A', 'D', 'E', 'D', 'D', 'E'] -> D
['D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'D'] -> D
['D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'E'] -> D
['D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'E', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'E', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'N', 'G', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'T', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['G', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'G', 'D', 'D'] -> D
['A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'D', 'E', 'E', 'E', 'E'] -> E
['E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'D', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'F', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'A', 'E', 'E'] -> E
['E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'D', 'A', 'E', 'A', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'F', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'D', 'E', 'D', 'E', 'E', 'E', 'E', 'E', 'E', 'D', 'E', 'E', 'E', 'E', 'D', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'C', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'N', 'E', 'A', 'F', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'C', 'E', 'E', 'D'] -> E
['A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'F', 'F', 'F'] -> F
['D', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'A', 'F', 'G', 'F'] -> F
['D', 'F', 'F', 'F', 'F', 'F', 'G', 'F', 'F', 'K', 'F', 'F', 'K', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'A', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'F'] -> F
['F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'A', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'F'] -> F
['F', 'A', 'F', 'F', 'F', 'F', 'F', 'K', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'D', 'F', 'F', 'F', 'K', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'G', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'E', 'F', 'F', 'E', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'E', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'G', 'F', 'F', 'F', 'A', 'F', 'A', 'F', 'F', 'F', 'A'] -> F
['G', 'A', 'A', 'A', 'G', 'G', 'G', 'G', 'U', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'A', 'G', 'G', 'A', 'G', 'G', 'E', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'E', 'G', 'G'] -> G
['G', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'D', 'T', 'G'] -> G
['G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'D'] -> G
['G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'N', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'F', 'A', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'F', 'G', 'G', 'G', 'D'] -> G
['G', 'G', 'G', 'G', 'G', 'A', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'G', 'G', 'G', 'A', 'G', 'G', 'G', 'G', 'G', 'G', 'N', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'A', 'G', 'G', 'G', 'N', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'U', 'A', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['I', 'A', 'U', 'I', 'I', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'U', 'I', 'I', 'I', 'I', 'I', 'I'] -> I
['I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'U', 'I', 'A', 'I', 'I', 'I', 'I'] -> I
['I', 'I', 'I', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'U', 'I', 'I', 'I', 'I', 'I', 'I'] -> I
['L', 'L', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L'] -> L
['L', 'L', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L'] -> L
['L', 'L', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'Q', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L'] -> L
['L', 'L', 'O', 'L', 'L', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'U', 'L', 'L', 'L', 'L', 'L'] -> L
['L', 'L', 'O', 'L', 'L', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'U', 'L', 'L', 'L', 'L', 'L'] -> L
['L', 'O', 'O', 'L', 'L', 'O', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'U', 'L', 'L', 'L', 'L', 'L'] -> L
['M', 'M', 'M', 'A', 'M', 'M', 'M', 'M', 'O', 'M', 'M', 'M', 'Q', 'M', 'A', 'M', 'M', 'M', 'M', 'M'] -> M
['N', 'F', 'N', 'N', 'N', 'F', 'N', 'N', 'N', 'N', 'N', 'A', 'N', 'N', 'N', 'D', 'N', 'N', 'F', 'N'] -> N
['L', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> O
['O', 'I', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> O
['O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U', 'O', 'O', 'O', 'O', 'L', 'O', 'O', 'O'] -> O
['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'L', 'O', 'O', 'O'] -> O
['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'L', 'O', 'O', 'O'] -> O
['P', 'P', 'B', 'P', 'P', 'P', 'P', 'P', 'F', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'D', 'E', 'P', 'P'] -> P
['P', 'P', 'B', 'P', 'P', 'P', 'P', 'P', 'F', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'E', 'P', 'P'] -> P
['L', 'Q', 'Q', 'Q', 'Q', 'I', 'Q', 'O', 'Q', 'Q', 'Q', 'Q', 'Q', 'U', 'Q', 'Q', 'Q', 'Q', 'L', 'Q'] -> Q
['A', 'R', 'R', 'R', 'D', 'R', 'A', 'S', 'R', 'R', 'R', 'R', 'R', 'A', 'R', 'R', 'R', 'R', 'R', 'R'] -> R
['R', 'A', 'R', 'R', 'R', 'R', 'D', 'R', 'R', 'A', 'R', 'G', 'R', 'R', 'R', 'R', 'R', 'E', 'R', 'R'] -> R
['R', 'A', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'G', 'D', 'R', 'R', 'R', 'R', 'R', 'R'] -> R
['R', 'R', 'R', 'R', 'D', 'R', 'R', 'S', 'S', 'R', 'R', 'R', 'R', 'R', 'D', 'R', 'R', 'R', 'R', 'R'] -> R
['R', 'R', 'R', 'R', 'R', 'R', 'E', 'S', 'R', 'A', 'R', 'R', 'R', 'R', 'R', 'R', 'S', 'R', 'R', 'R'] -> R
['R', 'U', 'R', 'A', 'R', 'R', 'A', 'Q', 'R', 'R', 'R', 'R', 'Q', 'R', 'R', 'R', 'R', 'R', 'R', 'R'] -> R
['S', 'S', 'A', 'S', 'S', 'S', 'D', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'A', 'S'] -> S
